off	sire	dam	sexe
IF2014007981	211069	IF2011001109	M
IF2014007982	100849	IF2011001308	F
IF2014007983	208678	IF2011001092	U
IF2014007985	205638	IF2011001092	F
IF2014007987	204896	IF2011001070	F
IF2014007988	110855	IF2011001095	F
IF2014007989	207485	IF2011001099	U
IF2014007990	75653	IF2011001109	F
IF2014007992	205882	IF2011001109	U
IF2014007993	206125	IF2011001109	U
IF2014007994	95003	IF2011001061	U
IF2014007995	211069	IF2011001095	U
IF2014007998	75653	IF2011001061	F
IF2014007999	100849	IF2011001092	U
IF2014008000	205057	IF2011001308	U
IF2014008001	IOLR.DL.SEM0..2017.12	IF2011001249	U
IF2014008002	208678	IF2011001109	F
IF2014008003	95165	IF2011001092	U
IF2014008005	74139	IF2011001109	F
IF2014008006	110855	IF2011001092	U
IF2014008008	96021	IF2011001084	U
IF2014008009	110855	IF2011001095	U
IF2014008010	IOLR.DL.SEM0..2017.9	#1	M
IF2014008011	IOLR.DL.SEM0..2017.8	IF2011001249	U
IF2014008012	IOLR.DL.SEM0..2017.5	IF2011001005	U
IF2014008013	IOLR.DL.SEM0..2017.7	IF2011001102	F
IF2014008014	*4	IF2011001135	M
IF2014008015	IOLR.DL.SEM0..2017.12	#1	M
IF2014008016	IOLR.DL.SEM0..2017.7	IF2011001102	U
IF2014008017	BMC.DL.NEM0..2017.7	IF2011001102	M
IF2014008018	*5	IF2011001249	M
IF2014008019	BMC.DL.NEM0..2017.10	IF2011001102	U
IF2014008020	BMC.DL.NEM0..2017.6	IF2011001249	U
IF2014008021	BMC.DL.NEM0..2017.7	IF2011001135	M
IF2014008022	IOLR.DL.SEM0..2017.12	IF2011001179	M
IF2014008023	SEM4	#1	U
IF2014008024	*2	IF2011001179	F
IF2014008025	IOLR.DL.SEM0..2017.10	IF2011001179	F
IF2014008026	BMC.DL.NEM0..2017.6	IF2011001249	U
IF2014008027	IOLR.DL.SEM0..2017.8	IF2011001249	U
IF2014008028	*2	IF2011001249	F
IF2014008029	IOLR.DL.SEM0..2017.13	IF2011001102	U
IF2014008030	BMC.DL.NEM0..2017.8	IF2011001280	M
IF2014008031	IOLR.DL.SEM0..2017.8	IF2011001179	F
IF2014008032	IOLR.DL.SEM0..2017.8	#1	M
IF2014008033	BMC.DL.NEM0..2017.8	IF2011001005	U
IF2014008034	IOLR.DL.SEM0..2017.10	#1	U
IF2014008035	NEM13	IF2011001135	F
IF2014008036	IOLR.DL.SEM0..2017.10	IF2011001179	U
IF2014008037	IOLR.DL.SEM0..2017.8	IF2011001135	F
IF2014008038	IOLR.DL.SEM0..2017.7	IF2011001102	F
